simbolo,estrategia,trades,pnl_total,ganadores,perdedores,win_rate,promedio_ganador,promedio_perdedor,max_ganador,max_perdedor,profit_factor,capital_final,max_drawdown,comisiones_totales,spread_pips
EURUSD,scalping_rsi,47,3.52,17,30,36.2,7.51,-4.14,7.86,-4.14,1.03,203.52,20.3,6.48,0.3
EURUSD,trend_following_ema,59,-32.8,15,44,25.4,6.93,-3.11,6.93,-4.61,0.76,167.2,22.9,4.24,0.3
EURUSD,breakout_bb,57,62.51,22,35,38.6,10.05,-4.53,11.06,-4.94,1.39,262.51,12.0,7.39,0.3
GBPUSD,scalping_rsi,45,-47.15,11,34,24.4,6.25,-3.41,7.86,-4.14,0.59,152.85,26.0,5.15,0.5
GBPUSD,trend_following_ema,93,-60.41,25,68,26.9,6.98,-3.45,10.4,-4.61,0.74,139.59,37.2,7.18,0.5
GBPUSD,breakout_bb,87,17.8,29,58,33.3,9.34,-4.37,11.06,-4.94,1.07,217.8,23.5,10.61,0.5
USDJPY,scalping_rsi,47,-99.23,0,47,0.0,0,-2.11,-1.47,-2.94,0.0,100.77,49.6,4.73,0.5
USDJPY,trend_following_ema,4262,-4670.93,0,4262,0.0,0,-1.1,-1.08,-3.26,0.0,-4470.93,2335.5,150.68,0.5
USDJPY,breakout_bb,706,-681.63,0,706,0.0,0,-0.97,-0.87,-2.63,0.0,-481.63,340.8,27.27,0.5
AUDUSD,scalping_rsi,40,-67.52,7,33,17.5,6.18,-3.36,7.86,-4.14,0.39,132.49,36.1,4.51,0.5
AUDUSD,trend_following_ema,32,-0.62,11,21,34.4,7.2,-3.8,10.39,-4.61,0.99,199.38,13.6,2.66,0.5
AUDUSD,breakout_bb,54,-40.07,14,40,25.9,7.9,-3.77,8.3,-4.94,0.73,159.93,33.8,5.67,0.5
USDCAD,scalping_rsi,16,-5.24,5,11,31.2,5.86,-3.14,5.86,-3.14,0.85,194.76,12.4,2.24,0.6
USDCAD,trend_following_ema,62,-38.44,15,47,24.2,5.09,-2.44,5.18,-3.48,0.67,161.56,21.2,4.52,0.6
USDCAD,breakout_bb,77,-24.39,22,55,28.6,6.38,-3.0,8.26,-3.74,0.85,175.61,24.9,8.61,0.6
NZDUSD,scalping_rsi,44,-3.19,15,29,34.1,7.86,-4.18,7.86,-5.18,0.97,196.8,13.2,6.2,0.7
NZDUSD,trend_following_ema,32,55.35,14,18,43.8,10.09,-4.78,10.4,-6.14,1.64,255.35,13.1,3.43,0.7
NZDUSD,breakout_bb,51,13.03,17,34,33.3,8.46,-3.85,11.06,-4.94,1.1,213.03,14.9,5.63,0.7
XAUUSD,scalping_rsi,93,-173.97,0,93,0.0,0,-1.87,-1.03,-4.14,0.0,26.03,87.0,5.88,1.5
XAUUSD,trend_following_ema,3787,-5861.92,0,3787,0.0,0,-1.55,-1.53,-4.61,0.0,-5661.92,2931.0,133.63,1.5
XAUUSD,breakout_bb,655,-873.11,0,655,0.0,0,-1.33,-1.22,-3.71,0.0,-673.11,436.6,24.75,1.5
XAGUSD,scalping_rsi,99,-579.02,0,99,0.0,0,-5.85,-5.03,-20.14,0.0,-379.02,289.5,4.03,3.0
XAGUSD,trend_following_ema,3765,-28420.67,0,3765,0.0,0,-7.55,-7.48,-22.6,0.0,-28220.67,14210.3,132.02,3.0
XAGUSD,breakout_bb,642,-3940.71,0,642,0.0,0,-6.14,-5.98,-18.1,0.0,-3740.71,1970.4,22.86,3.0
US30,scalping_rsi,114,-138.56,0,114,0.0,0,-1.22,-0.53,-2.14,0.0,61.44,69.3,9.07,2.0
US30,trend_following_ema,3912,-3117.24,0,3912,0.0,0,-0.8,-0.78,-2.36,0.0,-2917.24,1558.6,138.99,2.0
US30,breakout_bb,646,-474.35,0,646,0.0,0,-0.73,-0.63,-1.91,0.0,-274.35,237.2,26.15,2.0
NAS100,scalping_rsi,160,-404.96,0,160,0.0,0,-2.53,-2.03,-8.14,0.0,-204.96,202.5,6.97,1.5
NAS100,trend_following_ema,3884,-11836.5,0,3884,0.0,0,-3.05,-3.03,-9.11,0.0,-11636.5,5918.3,136.5,1.5
NAS100,breakout_bb,667,-1689.89,0,667,0.0,0,-2.53,-2.43,-7.31,0.0,-1489.89,844.9,24.29,1.5
SPX500,scalping_rsi,125,-709.93,0,125,0.0,0,-5.68,-5.03,-20.14,0.0,-509.93,355.0,4.94,2.0
SPX500,trend_following_ema,3865,-29175.52,0,3865,0.0,0,-7.55,-7.53,-22.61,0.0,-28975.52,14587.8,135.52,2.0
SPX500,breakout_bb,657,-4031.38,0,657,0.0,0,-6.14,-6.03,-18.1,0.0,-3831.38,2015.7,23.38,2.0
UKOIL,scalping_rsi,87,-167.67,0,87,0.0,0,-1.93,-1.03,-4.14,0.0,32.33,83.8,5.67,3.0
UKOIL,trend_following_ema,3721,-5759.32,0,3721,0.0,0,-1.55,-1.53,-4.61,0.0,-5559.32,2879.7,131.32,3.0
UKOIL,breakout_bb,666,-886.73,0,666,0.0,0,-1.33,-1.23,-3.71,0.0,-686.73,443.4,25.13,3.0
USOIL,scalping_rsi,95,-175.95,0,95,0.0,0,-1.85,-1.03,-4.14,0.0,24.05,88.0,5.95,2.5
USOIL,trend_following_ema,3827,-5922.03,0,3827,0.0,0,-1.55,-1.53,-4.61,0.0,-5722.03,2961.0,135.03,2.5
USOIL,breakout_bb,682,-906.49,0,682,0.0,0,-1.33,-1.23,-3.71,0.0,-706.49,453.2,25.69,2.5
